residence_id,LOCATION,TYPE,province,city,full_addres
1,"(82.03058492950595, 73.5967106002892)",SUBURB,Gilan,Rasht,"(191, 144, 'nMRbZLq', 'DnDRSCMq')"
2,"(65.98836960313179, 53.42802626723409)",SUBURB,azarbayjan-e Gharbi,Orumiyeh,"(198, 93, 'TTaQLOyPPcyS', 'DlKHczYz')"
3,"(18.538125325590006, 69.48905328428877)",SUBURB,azarbayjan-e Sharqi,Tabriz,"(32, 103, 'vIXHySszkTj', 'qRKJrHuCQn')"
4,"(93.75425361815603, 84.58543102212901)",CITY,azarbayjan-e Sharqi,Tabriz,"(178, 193, 'rMUTrHpRI', 'co')"
5,"(74.11017457328639, 18.16407390903898)",CITY,Tehran,Shahriar,"(176, 169, 'Cx', 'jpoDPj')"
6,"(27.014253925571087, 29.51773528337842)",CITY,Mazandaran,Qaem Shahr,"(120, 165, 'MSm', 'mBodJOKMVnZXLct')"
7,"(94.87305732223152, 23.322348001300096)",CITY,Esfahan,Najafabad,"(94, 88, 'SpPvGNRHnlUzdyP', 'VxWcbipJSewb')"
8,"(52.56377920982973, 5.117918098809071)",SUBURB,Gilan,Rasht,"(186, 43, 'aIAWdrrrOhc', 'YuegLMXPum')"
9,"(50.10978025926492, 56.667130984705736)",CITY,azarbayjan-e Gharbi,Orumiyeh,"(183, 177, 'coTcmRGhmFTUZii', 'Fc')"
10,"(18.576835967230288, 14.532206998635122)",CITY,azarbayjan-e Sharqi,Tabriz,"(100, 0, 'wylkDXbW', 'OS')"
11,"(8.712882196404925, 75.78284828735575)",SUBURB,Ardabil,Ardabil,"(36, 40, 'MSjIj', 'RP')"
12,"(32.935890752988094, 88.34540129708654)",CITY,Gilan,Rasht,"(21, 126, 'NSr', 'ZZCNHrLtjj')"
13,"(45.66711833417417, 49.44382670938536)",SUBURB,Qazvin,Qazvin,"(2, 174, 'VKPxKWL', 'VfldiGKDBJKjk')"
14,"(34.78229412411523, 59.338604850333134)",CITY,Hamadan,Bahar,"(169, 72, 'mfKJPTxfwZt', 'FbXzluiQsJ')"
15,"(91.49524299475763, 66.89818426593253)",SUBURB,Tehran,Eslamshahr,"(96, 179, 'QomoEGQhyqUD', 'yn')"
16,"(37.744630006998726, 11.645921152481343)",SUBURB,Alborz,Karaj,"(47, 15, 'wS', 'ikpPFjxu')"
17,"(7.183955329646974, 16.282386376437653)",CITY,Hamadan,Bahar,"(3, 6, 'LHzoMVpwUUa', 'Cr')"
18,"(3.9761552691536695, 94.02274468609751)",SUBURB,Esfahan,Esfahan,"(43, 6, 'n', 'MluAGsm')"
19,"(31.46123803687304, 28.000310300969634)",CITY,Tehran,Pakdasht,"(138, 115, 'iukdeaBQPgR', 'NAUOqP')"
20,"(65.1924332548087, 99.76650818788806)",CITY,Esfahan,Esfahan,"(154, 84, 'LtvLirtIgdabmX', 'AKQwh')"
21,"(91.36929787411223, 34.87292404812025)",CITY,azarbayjan-e Sharqi,Tabriz,"(31, 158, 'zBMM', 'ijBuiQUHO')"
22,"(22.58977328544579, 30.612855859018275)",SUBURB,azarbayjan-e Sharqi,Tabriz,"(14, 48, 'oJcchKut', 'fe')"
23,"(48.12138054268728, 17.740354130427406)",CITY,Hormozgan,Bandar Abbas,"(49, 173, 'HlbmwLBf', 'NlJFfF')"
24,"(57.48059010851749, 49.59089596367352)",CITY,Kerman,Kerman,"(168, 111, 'HGnrgihFAk', 'vHZKLuFDjdY')"
25,"(67.9510610796907, 71.82894995162741)",SUBURB,Tehran,Malard,"(8, 93, 'wLASjAAVmv', 'LMqmHoimnw')"
26,"(79.55115628543183, 50.62427608012605)",CITY,Khuzestan,Madan,"(23, 33, 'slmAicY', 'YGvUSCOoDObJtRb')"
27,"(13.512017689388234, 24.054448248287052)",SUBURB,Mazandaran,Qaem Shahr,"(169, 193, 'zH', 'zu')"
28,"(1.0430306721833316, 11.80432985988854)",SUBURB,Lorestan,Borujerd,"(111, 45, 'gRVoZPMJENFWq', 'mxFPzHgkcP')"
29,"(65.54892062877384, 72.83975127223204)",SUBURB,Khuzestan,Madan,"(178, 6, 'Rxpy', 'RkmyjcQSKDEAN')"
30,"(83.28607522097467, 30.83307110992054)",CITY,Hamadan,Hamadan,"(150, 35, 'IZKtJRkWhRuCka', 'TPAX')"
31,"(29.9470167997403, 38.72057314743922)",CITY,Lorestan,Borujerd,"(30, 97, 'vivroohw', 'AL')"
32,"(60.144697437331374, 70.2721766340554)",CITY,Khorasan-e Razavi,Mashhad,"(8, 159, 'aRXkvSV', 'ukgXU')"
33,"(71.10345486539693, 26.564529618254753)",SUBURB,Alborz,Karaj,"(75, 119, 'Soxl', 'FQNFrtUHZpseY')"
34,"(82.3032900053495, 21.172180230285697)",SUBURB,Lorestan,Khoramabad,"(79, 75, 'nq', 'bpCEPPWCPtcGpbJ')"
35,"(83.3639639811844, 53.91671687051631)",CITY,azarbayjan-e Gharbi,Orumiyeh,"(186, 194, 'kuKyqVLM', 'eZUHmwoTxReeEc')"
36,"(88.90978862210268, 1.4376918617510337)",SUBURB,Tehran,Eslamshahr,"(34, 68, 'CCMCyQEAa', 'wRBMvwIrYqbiUA')"
37,"(52.160685738342615, 47.79621918227656)",CITY,azarbayjan-e Gharbi,Orumiyeh,"(173, 70, 'oAJiqRmfj', 'npjBIHM')"
38,"(67.29550598238323, 25.358716388167423)",SUBURB,Hormozgan,Bandar Abbas,"(175, 61, 'Yip', 'BSNHzTLBwib')"
39,"(33.86518974059841, 18.308983759834707)",SUBURB,Hormozgan,Bandar Abbas,"(61, 97, 'gemk', 'IBqAb')"
40,"(19.00020051437059, 95.2407873787791)",SUBURB,Gilan,Rasht,"(98, 38, 'YiMdbfr', 'sLMlZ')"
41,"(93.32638185633073, 1.3658076852637646)",CITY,Khorasan-e Razavi,Mashhad,"(31, 9, 'DAKoNCNlV', 'RdKEHHVh')"
42,"(62.73264917597826, 71.25922298228751)",SUBURB,Lorestan,Khoramabad,"(22, 159, 'gDyUlDiIOM', 'R')"
43,"(42.77583688792613, 5.375562126767697)",CITY,Tehran,Malard,"(179, 65, 'rSDYdFmQ', 'b')"
44,"(96.36434461183066, 56.99172047783894)",CITY,Gilan,Rasht,"(72, 7, 'bNDYwBmuNN', 'pKMLznyqwd')"
45,"(88.87807250115554, 66.85296437529895)",CITY,azarbayjan-e Sharqi,Tabriz,"(40, 166, 'YZiKIVyb', 'RtgPUr')"
46,"(61.45384875578338, 47.45226168820509)",CITY,Zanjan,Zanjan,"(57, 111, 'CypNG', 'q')"
47,"(39.7081866101127, 14.452294389205655)",CITY,Yazd,Yazd,"(157, 34, 'TunkXHVxha', 'TGlx')"
48,"(23.14768766497236, 54.648538370835)",CITY,Mazandaran,Amol,"(27, 59, 'r', 'cuDUnARHCCsX')"
49,"(4.083357553616384, 18.430060923002888)",CITY,Fars,Shiraz,"(69, 71, 'slaEZ', 'hlsi')"
50,"(16.70202194013999, 37.1421713537972)",SUBURB,Mazandaran,Sarta,"(76, 18, 'VPq', 'n')"
51,"(74.52356868320807, 65.63438051918789)",SUBURB,Qazvin,Qazvin,"(188, 23, 'zuXk', 'pRDIQmW')"
52,"(55.377864016015764, 93.65727701603888)",CITY,Hamadan,Hamadan,"(121, 59, 'AoWwJ', 'lePjqghxqhe')"
53,"(14.017240386063811, 74.32629666165104)",CITY,Ardabil,Ardabil,"(80, 82, 'X', 'NasJrjVLjEVpph')"
54,"(10.561383222673337, 71.65726061255165)",SUBURB,Qom,Qom,"(150, 18, 'IGogblngOOEco', 'BkBiyQfctqaNnU')"
55,"(86.08770549929112, 97.06157377610087)",CITY,Tehran,Tehran,"(20, 78, 'qVUUnGCLOTbGT', 'xTaNpAsVso')"
56,"(56.665893074181504, 79.01710066640956)",SUBURB,Kermanshah,Kermanshah,"(64, 11, 'sTaVLAM', 'ubVayUJHx')"
57,"(96.99548956156255, 5.02405756307035)",SUBURB,Qom,Qom,"(150, 198, 'yMOvh', 'NpJhWJIh')"
58,"(32.927698501543546, 21.672769438733873)",CITY,Esfahan,Najafabad,"(31, 22, 'PhJcYUhTrtRbImc', 'ytsuhkp')"
59,"(39.41785134164649, 94.4754677959486)",CITY,Mazandaran,Amol,"(81, 70, 'kgTEGo', 'KiqtxHNCWk')"
60,"(92.3313796731494, 96.45394683882708)",SUBURB,Kordestan,Sanandaj,"(10, 142, 'DdK', 'ylOWRvEse')"
61,"(38.29999149431802, 94.06151713563577)",SUBURB,Esfahan,Kashan,"(197, 135, 'lLIqwThhUffEw', 'ZtHyMOMfe')"
62,"(80.68399176833655, 19.161043535386547)",SUBURB,Hamadan,Hamadan,"(146, 43, 'OeODd', 'xlnqHD')"
63,"(47.335693066573846, 97.73819697918333)",SUBURB,Tehran,Tehran,"(161, 25, 'sIbP', 'kbukBns')"
64,"(17.591749623133556, 94.11426999518382)",SUBURB,Hormozgan,Bandar Abbas,"(117, 25, 'bbcz', 'jhTTzACctSjAJ')"
65,"(10.810116991693198, 36.62041578295027)",CITY,Alborz,Karaj,"(99, 1, 'HsX', 'KygZWSeiLdUv')"
66,"(13.77762229000531, 69.60829322651662)",CITY,Esfahan,Khomeyni Shahr,"(72, 45, 'NtGsuHEqltKBFRO', 'oCCHsydQjiMMbiO')"
