amenity,residence_id,COMMENT
INTERNET,600,RWwoEJavckwgiVE
PARKING,2117,dUGtUmFnHyvOzm
KITCHENWARE,3579,SizksnueryzwXvM
WASHING MACHINE,1872,DFQ
PARKING,1026,WXau
INTERNET,4655,DzU
INTERNET,4098,oUZDdICMn
INTERNET,757,DpA
WASHING MACHINE,3774,JHMAzkYzfxIlZ
INTERNET,1035,gIc
KITCHENWARE,904,ZGQIcTabSo
INTERNET,987,TEiigXXMkhEoHB
PARKING,302,hpwkDbqs
INTERNET,2996,vXDuGKIIEaiQY
KITCHENWARE,3235,jZghM
INTERNET,3126,KkheHucoNqDXFBz
KITCHENWARE,3599,bFvDGXjjeddUfOY
INTERNET,3925,BAAIzszhj
WASHING MACHINE,2357,NkCpJutqgS
INTERNET,1246,kMaCjBEdTeNzzm
INTERNET,590,WJkKPUnKR
WASHING MACHINE,1497,jsV
WASHING MACHINE,1168,PJQLqy
PARKING,4997,MzLfQPYE
KITCHENWARE,2226,dCGmGUZuSWlF
PARKING,697,WPDxaxWRzqSNLQ
WASHING MACHINE,4371,apmRfGQoTzGrlPN
PARKING,2067,aKltHJn
KITCHENWARE,1530,yJBILHsT
PARKING,4027,UuxgjQwyDcA
PARKING,2762,dnGd
PARKING,3555,N
PARKING,1742,lDuOpNzRXKQH
INTERNET,4449,ucoNbdwCPKpOw
KITCHENWARE,3563,jVznrKtmjGTEFWb
PARKING,1296,AtFXtrCARBa
WASHING MACHINE,202,tZ
INTERNET,4317,bOnQkXy
PARKING,841,gNU
WASHING MACHINE,3397,rrtmpi
PARKING,810,GCJCKex
PARKING,3552,l
INTERNET,3557,g
WASHING MACHINE,1702,ZkK
PARKING,3116,ihFGQknqmGAiVtq
INTERNET,4177,oQX
WASHING MACHINE,587,Bokzh
PARKING,934,lLKSwbkuhxnQ
KITCHENWARE,4579,gTeBGhBZUWGJf
KITCHENWARE,1625,OXZDI
WASHING MACHINE,584,OOSZKVIbVl
WASHING MACHINE,2046,lIQnraCOkqLGtvb
KITCHENWARE,4317,fDWnPW
KITCHENWARE,2737,jhXKgl
INTERNET,552,XScxUHaSZ
WASHING MACHINE,1280,EVgMe
PARKING,4609,y
WASHING MACHINE,4142,vcblgP
KITCHENWARE,73,y
WASHING MACHINE,2243,eKCDoyLnNtbrgo
KITCHENWARE,2175,IPVevXVakdioQcg
KITCHENWARE,3727,s
PARKING,1727,bLqPWU
KITCHENWARE,840,TgXJ
WASHING MACHINE,589,WIqfFfiktu
PARKING,3691,yADJ
PARKING,1783,byfcrzgio
INTERNET,2050,gfoCjStoEOKQKkv
INTERNET,1768,DYZ
INTERNET,3306,hhsi
KITCHENWARE,2089,BEQzbP
INTERNET,592,rkc
KITCHENWARE,2059,PlCtxKciLw
PARKING,698,vCoOc
PARKING,4175,xhJMt
PARKING,1735,uWl
WASHING MACHINE,4190,DKUclIASffT
INTERNET,2620,YxU
WASHING MACHINE,3236,JlwYfwyG
WASHING MACHINE,99,kezVc
KITCHENWARE,1600,uxCuqqVwbOAXN
WASHING MACHINE,4984,VJdqZmJLfNflv
PARKING,4344,gNtzfGKtcwJwb
INTERNET,1594,pJCC
PARKING,1267,OTbGkMAAqABrlln
INTERNET,2857,OyLENDDBsnMJEN
KITCHENWARE,879,jRy
WASHING MACHINE,1453,xKUqZzMMTZlAy
PARKING,4300,NgmTYaNtWH
KITCHENWARE,1459,BVJWmWpaOegMqlh
WASHING MACHINE,3832,VAlPAGH
KITCHENWARE,562,vVyvZVOEw
KITCHENWARE,967,LmrAMfbrkxpsurg
KITCHENWARE,3544,yUdaYhvaIvcNBQ
INTERNET,4773,ITdcsdG
WASHING MACHINE,4187,BPNnHlgh
KITCHENWARE,3547,VKyurnq
PARKING,940,BlEplbJEgglKw
INTERNET,1191,Jrsi
INTERNET,1369,SVicTCTkcf
PARKING,2681,pXXlOlHsE
INTERNET,1455,MwKDN
WASHING MACHINE,3656,dCEFmmtJRaU
KITCHENWARE,1825,cIdRJNk
WASHING MACHINE,618,Op
PARKING,3263,XgQEExnWQK
PARKING,918,osrE
INTERNET,475,FM
INTERNET,73,xkrVp
PARKING,1909,OIBGsaAsNr
WASHING MACHINE,1660,emkKwXtXCZGHjsv
INTERNET,750,heupRIanFu
