TYPE,penalty,COMMENT,residence_id
ntWWQcpyBjzrS,189.54,eNSZviTwrectD,2806
HZ,521.87,dFWh,1746
tWRXqCMS,361.63,xQKH,1207
adpYHBctbRJj,332.51,LpulLlT,1934
VeN,720.36,HtdpXteH,3738
G,639.05,Z,2062
gyLHVAwXhJX,888.17,DKa,4671
RVnS,630.97,ygiucaV,2124
VfFNXqJmMJZl,294.66,SiubxiAhfqOfYw,2875
Uoe,44.73,YulXRWkgJhxakqw,2999
SuxTyPCDHUL,650.84,HyaBEyZjckznmm,3773
tGhYwlYzZhrmLqt,787.47,STvB,4342
wIFuCKnwh,721.66,txsi,1677
sGtDTIq,36.09,rkoMJcfVrhOkEV,1104
SgJEmdMs,164.91,uDeJanIEfalEZE,3142
TrVDmNAntsdVUvZ,684.97,u,3458
KXVUxoBh,695.98,py,566
AGud,243.05,FSGIKeWzjJbUi,1125
bIpWS,359.16,HAYGdGiIDNA,2228
ziTSgraKdLbr,860.82,VaOmILcpIb,1165
lfZtOoGtptKLX,747.93,vPdlRHOStEmXgQ,3027
llb,350.37,h,3833
KguhLMHjtQwGPUC,692.08,OnRxN,4406
qPslk,660.2,jyBEqfHm,4402
UWUQ,346.89,DFYxwTxY,58
gvdMtqvddSKb,26.85,YAHLDFJ,4971
ue,267.46,mkDNnfed,3709
lgNL,142.51,pgVyPLMxjTuWz,4934
GEyuTEYr,611.09,bF,4248
FHCXAsOCZtfRq,209.09,XIsIKFNhQJF,3286
TXqhKVtJhhC,991.72,OoprNJ,269
nTaKYTlDLUjm,985.73,CjFTHMVtOdP,1978
IFHUMN,366.08,xL,3257
BCwA,802.6,LotfsrvKUNekBc,4328
zya,39.93,XsHmngut,4852
mmNejZZlEqCYo,673.74,xvqWp,906
NxFDuTZKSGXgFn,177.35,pIJlNLx,3212
UtkdWofMBw,984.18,CBVhqGUKs,3824
ZoyfBIlouUr,431.55,ovgHhrHeSlyBtT,4334
UKMGpfzkfodvh,193.46,RAqYNnAiQpD,3578
ebeII,891.45,OOUrZSmi,2163
yWTMPyf,46.49,XZ,3565
bk,166.8,dGgkcWGPX,3280
KzmOuGmktRG,605.76,btBoyaOmlWYV,1494
FMMp,292.06,hThOJUlyXBWUkN,1321
aQPZAxOxBl,388.19,WktC,979
rbg,454.5,ZpIqrQuny,228
mZfZLqe,299.97,ndN,4816
Obnono,655.88,RNgzZ,4865
ATZTdYelQPoSLhu,961.53,LLDQa,1087
MgHtqWbB,61.44,NSOycoSyjetrnJ,3999
n,902.5,Ae,3212
vjRAUuqiBvZJk,564.75,mDtIg,1806
An,729.77,YocKMYdHUNo,493
tBIvCHhDVVlejn,78.03,WZzKgDFEhfXJQ,2139
OtxXWVrxLMXY,306.39,yzODeElDVPNLyl,725
kscahZu,144.04,WEJcqcuup,1226
e,880.71,xY,2841
TXXEpaCLzoSz,16.05,dlHYTVl,4189
zAgfPXBrhoGyDkq,516.64,aTd,2415
YHSZ,800.35,BFiqLTOsckqtXKw,141
ykLJIMAMggMyrkO,848.7,sewgouWrbGYpxBm,2516
xGdo,713.72,OqAS,1155
AEEfa,818.09,FH,673
TaktugppxhYky,739.93,iDv,528
XCLPnEIlCOgsBPk,805.6,qdq,1800
jjXIEqaVWu,638.24,I,1355
uuHyhwjse,417.9,KmnGtlkEQgqas,3733
CdihRt,585.97,goAWJyYysRoUDfX,4413
hGkswApotQUQHx,811.53,mTBEQUTqoZ,2005
gHHd,592.11,hqXZNflH,796
DgrmaPuDuE,922.37,dqoLPCtLDfPhv,386
tOmyFNOXa,831.85,HMcngYfNbiKKC,3219
QBHkhwMFXpa,323.14,xYiVXbIcUBdHGxX,3727
fnwlg,294.6,yM,4882
r,706.99,K,284
GymKAduluELS,804.8,dngCghkw,3503
uuvxrthZyPfp,676.72,BbauxYbkLdEQZFs,2772
jSRsmn,593.78,OLDSg,3239
YSkRXscGKDg,719.36,zCZWjcjwBacNO,3062
cBWhsqPdaWR,401.54,sxJVDlKm,1980
oDGwajgXC,154.44,kF,3728
RCN,22.65,vW,534
rTDZvIfjJXtrW,300.28,HAr,1316
MTDveNqxaIsd,119.91,BSOtqyxnLyNaCQ,4629
ANo,102.96,vboGLqjqMZk,1415
VFWvEqPeH,899.22,eUHnCgRQWifvyQa,40
o,743.1,TwMmPyqLufit,4680
dxupFNRjVXw,203.79,Hlpl,4246
rkIX,899.47,kaR,738
i,597.9,veIOnnCBUNDweRj,4128
sbNRyLUid,941.33,fCmNrOFubJpVzje,2790
Wz,154.35,OUokFQQrCjZY,3333
tO,676.54,TCSjgK,1788
LFffZ,135.74,Ru,3795
kAgvIAhXnu,545.24,nzIzMfnb,2457
jYb,442.14,SDHMiTOcTpkWLLb,4073
gV,931.59,cMXFm,3241
SGtqOEjXZpOTuI,167.74,DFojGHDQvE,1033
wiC,41.58,FWHpUBFGxFwFzY,451
TBMBiVvVDVx,376.46,sHKUbdJUU,4457
pgXMxcf,475.09,HcsewkWGLOqoO,1982
jZLSTXhJUak,227.86,dNmtRUktSf,568
yXytxGfwMB,683.96,ooldjSKWltvF,1580
rj,794.24,GtqSZShwIyF,1816
nD,541.89,KtGSNpvsyLDAUY,1021
wBxxzfFeiK,770.83,hTJq,2547
sOYYNtNdAUFIXC,600.79,v,4029
MpIIfZ,113.22,aEdCwAnBRI,4936
QaDyglmKrgAky,373.14,lFsomBdiuZJOap,4499
YITIIHSlBHN,151.85,Y,3080
Z,940.28,gyqsIktoxx,1784
blIALPOj,398.39,wkwMENiVsqCENbM,744
abCnGdrmlIur,591.04,FDsS,3865
JGHZM,582.78,vopHIaD,1112
M,331.1,kIKbKwXwHvLoyz,21
C,796.17,oxCs,1098
JUmNioT,631.64,SCoEuvC,4170
yRqUObospGYVJ,504.92,m,3792
RmHDKlhrf,458.32,WStpiWnRvfSv,1619
hKoa,73.01,ap,4048
tWiViEsPkOdyGM,367.9,oomLkECEohL,4700
qq,569.72,MCZpl,4451
dl,23.46,XZsppjlAECbbDR,3034
OfKCWpONkIjmK,686.98,pECl,2021
IZGUCh,643.49,fE,2028
fXyVrxljot,192.33,zucAGRKFzgvcUAJ,2291
ppiPguEGfbOHi,429.31,rmjP,3485
OS,341.8,VWHzivNRTgmftp,323
nImkvzmzy,447.79,oJ,3735
RHCzeEf,271.93,CnrwydzSzb,2186
bjEUXijzqWf,289.82,cONJesJCDWpfb,2719
S,244.5,jRo,3921
fpOsCkXywneAsn,618.02,jJYlC,1106
wnO,174.23,BkIMl,3099
gKJKkQYvytMBxCC,579.91,Gecd,1323
eYfnWgOFY,984.01,sFEVihSs,2890
rRPeG,731.82,MPoaFsc,1027
YbfEklc,601.47,rIOSuh,2360
aDNPQWEHhrFWbv,203.29,eDfPjy,322
cJXXch,185.83,JBfm,973
Fko,711.16,lxmnMNfSLDLaM,1889
jS,283.36,WWdzpwPujXN,2373
kDZPgx,138.21,dFvSCLiUIHSY,4638
BNOwJeiAttNeNe,16.89,UBSERemW,193
GcaEQ,684.63,CRb,4320
urJ,913.35,jVM,3151
Nskc,439.71,vWjtGh,3383
JIcF,236.85,OMJTgxDaeZyOS,3136
hd,139.61,OKJzqmNQPcn,4968
VVjNNysVmI,791.43,EDUClX,951
rlmuFtzseBiKor,542.37,CFI,4324
tQPxQlRshPDk,954.18,DrY,3748
njmixOlSyyN,49.27,yuwEjRmYeIrG,4508
MjFZNHNp,541.69,nJyEjkESNwGOfN,4855
muTUDazOxrKfZU,741.88,W,4222
Og,257.81,GnZkttXPOCsSk,3383
HDxOx,243.2,Sz,929
DSGqxPQzgexP,745.34,iDYVRYMD,4061
fqVcTRoZQCeh,580.61,SRZVDRyvOusiEBZ,471
JI,686.73,ZEX,4319
JDCpTfxhRXO,439.96,EqA,4031
WGUfPmKuYwbQtp,639.13,IOcmX,4805
mbOB,85.2,qfkwnhXVuzuk,3982
uVIRgFklHBNuXgy,555.16,hbvmYkTGIcHbl,679
fKjOyqzvhAtWS,181.76,azGpps,2061
V,75.32,CQjnKedUTyCZko,2095
HrcUssrx,95.22,FvfeVlnEmXh,2052
gvG,114.87,ihJT,3126
TJhsqdtVKhdommr,856.06,pLxtH,4618
vLWtPTKcmoti,648.47,NxYDANYPKHsd,2160
INmbyCcChaQUzL,27.78,hwlHWJ,4260
Laj,498.27,CkKTADmh,4174
jcntWqOrHaxyrZ,311.3,WLDatjwQvitVK,1404
jC,490.82,koh,2349
pVxqR,578.34,acqtnX,2516
EAvEfD,781.98,M,17
TXbBrZsijRfo,494.28,EDvdWxmlhR,2009
Ryh,647.43,ntrUKjfBbb,1689
aW,918.66,GYHPGVt,2022
pUy,227.68,DFXQeuhIQwue,1779
KFmxjrnZw,766.94,ZDpXUW,1337
kEHtry,959.16,cCSyjUricHdGWuR,3303
b,632.65,ACP,67
yjTa,109.06,aup,474
xJxZhDfWSoxM,132.08,anesnyfOdFuy,4858
PaOAyPSxS,126.38,hoTzHOoAOt,3749
dEhgpQBi,494.18,mYdVZk,1135
