COMPLAINT_ID,ACCEPTED,EXPLANATION,START_DATE,END_DATE,GUEST_ID,RID
1,True,LgRgrgBFcCjgcwJqJxJgqEXsbOdkxXNUgAjNAaoOFJzSPUCjynWLViuCivKFFthDsYGZdzuUHncQygBwWqvVpCAZx,1967-02-19,1997-06-13,2062902708,3579
2,True,kNJuUjpcxUDCSBDMawaxPyosErTXtjdqERQ,1977-10-02,1989-04-21,9192446489,2359
3,True,dGBmeJYWkhipNTvVnILRzXcWfUZDwwCGnknBgfULcXAZsvZCTbLGrwRSJPMzZsKYMmVXrvHbYngzYQKLxHNJfsY,2003-03-14,2003-08-25,4572181390,3092
4,False,FfHjChlNqYJvHXwbdngmkmCpmSxItdXBQVWEdhdxUlKVNpqTQrUaIOTUMuPXEqJzskkkEMvxK,2000-12-24,2012-07-30,0139992538,862
5,True,OmUnMAJDhnFxEgmPygYMvQPMyoUZ,1964-03-23,1966-07-07,7052475214,584
6,False,aNNNySURwEieYRoAHbTjBVxIwLAqHEvPcXtUCFtXdKoCtkZVFobidpWjhWWVmFuUDBftNCrgXzbLpYTrRMYCQvryxAU,1996-06-22,2011-01-01,9600117085,3735
7,True,fMUxCCFyGXdSlQTYzvCpjBYaPYNbqkHDqAUOFdplHAENyuKTiboRXqKhtuiQKZuzGefVEJApauS,1953-03-06,2018-03-04,1069439151,4310
8,True,GYEbIldCDJeeAZQKQNlAGycIMNFoMiaxHqxvpTZPMkbUCFPmGC,1971-09-20,2005-12-22,4440753780,2276
9,True,opFdjXVMZGXjplMYVfbsFEUjlflHE,2009-09-16,2014-05-21,5875828139,3463
10,True,spGpfRjucCNLLSUNECucdjokpoearfIPEJbozFZGqQLqklngTuFrvDWKzmF,2008-11-22,2013-06-17,0462750228,1409
11,False,GpkrvoHNDOFAUrKlIjdJTjehLTibFpOVPpTxtHnOaJkrGNakbVfRfbBtMYUUBaspYIeFpulbvcSx,2008-01-25,2019-06-16,3019351859,2317
12,False,QlQCiXLRypdNKCqDNWcGwzPySSTGkHxBPzNL,1995-03-14,2022-11-29,2330468682,1260
13,True,BNpwMbpGnGWPGpKiPmaudsgLSOAPpOMgplmxZeoxSGjSjFTCHTcywYrIItZasichOBTGvBEunTYOUDDH,1999-10-13,2005-02-10,3761642270,3129
14,True,iiNOlaFbiTwRSs,1995-02-04,2005-05-01,7629031195,3271
15,True,hMGeTdFnHHOPGpxibjRPnkmyKBcptvxhAtjK,1961-06-19,2000-12-02,9037110305,4618
16,True,OSbCacFrttgFBrzIpDZUKEkyUDDOruVZjUYbIgxCmoIcsPVeFCYxfLIRNoFdXveYLJTM,1982-02-18,2013-01-26,2539388061,281
17,False,QQBRnbcZtqAZnQgNFkjUqyCrdVfOR,2006-03-07,2015-03-10,1391101193,1794
18,False,OMJEQgjMXsEeGaGWMCDFKydWbjdgRGnRuOjwrIHZaRVgoCxEKGvfUgbatIhifFQrFbWjOWUAVQfEvftpFGeaMoUdIWcXcYarmyh,1994-01-21,2021-12-12,7003855828,3035
19,False,FqnzJUXRLrfzdXLTUhHFrpQBjFtVosQRFJAbdCnVTWAItnWVwHvFNlGcEfoMtRyxUEsFNqQAiHeboaFsiEaYO,1975-09-07,2007-10-06,1277401229,2730
20,False,wJdCqpRMpbtKNxuUnCVmGTNwGJKdgrQtTARkzbzLMvzdXXQmMKLLTDaSwCvxINWukaZTaEerfwSGMbnUwHVUKZRbQyxBj,1961-04-04,2000-12-27,8470171195,4460
21,False,MxOjiMijYwDdfcoBYm,1998-09-03,2003-03-11,0241998789,4574
22,True,zBvsHSXRZqjTdqvjIpSKUPrkbwcoTTxvNkBGsfKhgiQjqHKFFiGBjUCySyndOaXw,2018-02-15,2020-04-26,6706565078,4787
23,True,tvhRdsCjnyCeUAFaTNNHpyYZ,1957-02-18,1978-08-09,4272773971,800
24,True,DLsRzsldYyjJUZbWGLScWkiDYXNMrfFCfQuuvVVBckrXyLENQTmomralswiFAaamSeLTndLujIXVRONGDR,1954-03-27,1957-09-22,5326810657,1245
25,False,byceCzMUuNXpayfnzTPjyhkGiecohwIeAdPvyrYmBdntJGSY,2013-08-07,2017-12-05,7841232442,2831
26,True,fBvnPdyjoISHpEipWcWrXanPuFZquguYiYtSvxEOuHheWZqyiSJoUOxuBkRzuFijQMaQOzwNQIvLdWvIVSklRVXXb,2005-04-09,2020-12-23,2110822701,479
27,False,nZEOfEAPqIXEvinPtFbwMEkxCkGLNkgTeBPAgawbuTbEUi,1965-04-07,1983-09-13,5528449119,3070
28,True,LSxefvRNsyLTVCGQAMvsiSO,1984-06-21,1996-10-06,6283418648,1823
