REPORT_ID,ACCEPTED,EXPLANATION,PENALTY,START_DATE,END_DATE,GUEST_ID,RID
1,False,DtowcNmYRTTOvkTvyiLTDpCZjPaMdYBWthEXBzfeVmqvTJBzWHVO,45.03,1986-07-04,2021-01-05,0924386348,833
2,True,IUzqUAKZcsaOCKaBWcMUuyFeMmWRTyBjWsAkwRDIxHcGhmfSjJOzVLC,110.63,2003-04-15,2017-02-02,3509423398,4638
3,False,MzhVRdhrMZTbctcfysFeMJ,380.81,2013-02-07,2021-10-13,9883196898,4234
4,True,bguGfRHxUqnkxIjZxSvKufRUTzFJuvTaKIaFxtavgLGVhccNPZV,13.3,2002-07-14,2007-01-05,0033159842,2151
5,True,OVbZHPCjQxkzqWBTkEuGjeChEJiKcmNuuBfm,996.57,1982-01-12,2005-01-03,9585102380,2187
6,False,qvIKNEuhpxhpqDbwc,148.13,1973-03-19,2008-07-06,3525630320,3182
7,False,cWnFtYHbxqlGLGtrPnAxkslpcvMzYbGRkVadVRzyANIaeGisBQgTueWIXVYmrIlUM,146.33,2010-07-17,2011-06-05,7240329284,619
8,True,GmHhmMNTftRHszSuoCNjaUBgqZOdTLwoFlJckzJmBIptKlkyMuPZEqlVvRGRxHpOVydxoOSWdg,410.66,2006-03-17,2015-12-20,4721673629,2526
9,False,cRClctNHbAcfejyQswjSiozDNAaFlqOvXcPARIXRucOWlsd,308.96,1958-03-20,2010-03-18,2974749025,3718
10,True,tzcGunKttkhjoyhwlwqJYhoXHYESMdzlnmPEgdqUrKnyDsusRVebwtRGjJMmvMyHyeVxAMucxUIJxpKFoakJkkrulOEkouIWx,888.74,1991-01-06,2023-01-22,7644886824,2484
11,False,NRXqFaurMwIfNwenZvyvFXzpowCWmsLUZpsIkrBwQXjBOYYnzTrGySdLaHppsHQnEEMABeMrGAdIvlFwbZBOd,73.08,1993-06-07,1996-05-23,5393201367,4266
12,True,jrBmjDANSgaQ,255.99,1950-12-01,1963-12-27,5266492188,3440
13,False,XUDXeVZTzQEXXvVoiamVsUjLiXQGtrMWZmHlwkLzfOGKsGQfokqJDILJQpVVgPOq,787.32,1997-05-10,2012-12-30,5781954723,3429
14,True,efggKMpRuDPyygQoauTcYihIOVEJHmsaCZL,486.9,1977-11-11,1995-11-19,3531007180,3744
15,False,lrldrfTLCudAuDLQhPbknSqFAEemePjvZiagzqPsXLTEwOjcCdPIFxrhdrSB,267.52,2005-10-22,2009-06-24,4241012342,4680
16,False,VPGtTINWnLUBakfzOYOHEfWcvJshrgCQppPczB,750.5,2003-07-19,2014-02-21,6096836769,4453
17,False,jGuOboTxWGVjjhAXVquXnTObkHbWSJpBCYJrHCvQGAEeYxpqqWEu,400.04,1962-02-01,1976-08-10,7872127445,2074
18,False,uEbNIlqLgVHLUJZYuDuunUplPrusUBexKFuehUZXBddNousoKLOqaTWNaitZXOmsiqdPslRKhi,644.43,1967-12-20,1975-03-29,7805084501,1354
19,True,YTgniJuKjOZbbvblECjcwDG,328.42,2001-10-12,2009-05-15,3926823129,2472
20,True,dtsNPiWOcisWOVjmixSIuZLviqOgMpLUvffyloSzUTEOtAMFI,622.55,2008-03-20,2015-11-29,2887581671,3672
21,True,wElLswuWGZdcVaUjpAkdFbAarSFxZiRkBLDWrjx,11.23,2017-10-22,2020-01-31,1120672356,3678
