SCORE,EXPLANATION,START_DATE,END_DATE,GUEST_ID,RID,SCORED_DATE
0,ueIPVzBUsXTgO,1963-07-18,1981-12-02,9911716088,4768,1992-05-27
0,ovSiSzmzDJPMYbrJCpgrOGbyANLucwRuApGcaKlAvOXMuHXoxhyljIpghHKifGcvUtPiEpWoTUJuMWoBJGGNYJFDxG,1968-11-26,1977-02-02,5658246718,1560,2001-05-28
3,pdTiLObRJiWVMKZtFdZqDCpwVso,2002-11-04,2004-10-10,0517446858,3003,2009-11-26
0,WciiRhAXpgfNvUNJqozdKZRhHBYNDBPxnjVJevSjoMrRqRPRrPRVdowXZmicerXvMQPvxphLPdEQcMvIVJ,1983-07-08,1998-02-22,3203156473,4142,2001-01-28
2,uXonvaXfvhEtNiWXONuEOnmwORPYqxkvlkfOqPrCJwYNLRiJWbDofqbgoNfTfkKfSIFLAbnkRbhfxtifnwrjojRQgvvBFZjXD,1994-05-26,2020-06-30,1810934362,4574,2023-04-12
2,bUonoIjUGQXkTErWuxGHwswLBpChSYjdhHhYiPfyjlXSGwn,1993-12-31,2006-06-18,6958935317,1299,2023-02-11
0,UsOFJpLPVeScEeAYXDXYQvyDhKSrfHnzDKodTuJAuzaKTzAqatMcjGecofgSByaOOBAnfewkTvLetsnJYFMKjbQMSpGqxwr,1957-02-18,1978-08-09,4272773971,800,2015-06-28
4,DWuuHEWwLulLxJHxhQTRuPPNuSNWCWgUviCdIsPZoqhMIgJ,1980-03-31,2018-10-01,6482618295,4034,2022-10-13
3,DToRhxeyoYpXnYjBlDhqZzvqlRUwwVichOgMCGZMawgjtmYwfPouDvSAGJpAOrstckDjWdiAsdNaDPyydlcUuZtZeAJWeCYq,2015-06-25,2020-12-14,0153645958,1674,2021-07-12
5,RvOYaMFzzfUBPZmMzHgVRzCDfjAVfXmJctJnFqkyDwMRsyfEzFweeHlUC,1987-05-20,1995-09-03,6584007123,3936,2008-04-24
0,ZXnKUvJkfPCNp,1967-12-16,1969-04-23,0990359614,1596,1986-03-09
4,AkIhpvmvfduakgLqXEuJQebsopqIvwsnHCypWMwOtimTgYoJVohpGzNSvDbOZPQynDXZpxAtwlVdlHQ,1950-01-16,1950-10-26,0309340286,1680,1964-07-24
5,uSNinjtQLRgdKUfWPWOpYkpoeoTLjenPgpBpGpyWcKvfpBRteW,2015-07-12,2016-06-08,9697361773,300,2023-02-09
4,jOzqEGfIJjXlMrBQnzWPfBLJwuBlSWdSTD,1959-12-13,2012-04-11,0126226282,2559,2015-07-05
0,drNuoPFWEEDyTGhVSTpJjkHMZXb,1956-08-01,2014-04-24,1139564101,2564,2022-01-12
2,XrEQRKRvUWHVECOHNHNnfjfYJSLKzUZJmfIpOIBuribcFXcKKYHOpYMCsQMUOQWilXXxJgRYYjEEYxCotlN,1977-03-30,1984-10-30,8931449185,594,1989-07-08
3,GNkxzNNrCxnMVPtXoQGGWxlXjdtXdfLYaEPNPBBxEkxGxrnUUcGJSpAmLHdDYRagQMWBUKVecItyvLuhuZVWNtzchN,2014-12-09,2022-11-19,4125709311,1481,2023-05-11
1,VlsqduAiqrPwXwod,2013-02-12,2016-12-07,9248385232,305,2017-10-23
3,VSFsiOHeob,2018-12-23,2023-05-26,2474400509,4588,2023-06-15
5,EPXRwcVWZXOKSGCQDkBylmmojEaISRRKnphmFcMAxBsjeUgPWaqcuVhfhtJrfdMiNXuyKAHFqrPhZMbyXarqWjFJcLzsJvVr,1998-05-13,2022-06-16,0510660449,2830,2022-09-18
