EXPLANATION,START_DATE,END_DATE,GUEST_ID,RID
tFxupQvGxGbgBRpviZfguCPEvsCsppOCAnSQjYZeqFVLZGJAGm,1994-05-26,2020-06-30,1810934362,4574
uuJSuywYkMWLkgzlUYZKHszwemrAmmRPNKtVECZKEUyjZYAfXvMRINpLeccDVBtbtRYcbo,1976-04-05,1991-01-21,2247929932,3328
UkQEQHzAGHuJX,1977-10-14,1989-04-30,3516187695,128
ZOfCCHrdSAtKSgOYRQnCDkvRpbkfqjiPkcksIkGraQULWtYLZpLtlPgPAKGDikvSnvI,1953-02-09,1984-06-09,1945984432,4787
PiRSjpQHNBzJwZLdYFeFdoYgKIHlVqQUwJVnREpFMFrkeklS,2002-11-24,2017-02-02,8988330082,1600
GZcjxANjBEAOoWcNanGSIrZhumplHXSCVSlbYmHnlAvDrXUceRlBlZeeytlxnUVFBgOgAaKNnHHVEH,1991-05-28,2008-05-16,7866753515,2313
eKiMhwrFGlzUUOcktwaVIzIErxwCEPnWRQzEfPdSbkzmCztRZTlAZHwiV,1982-03-06,1993-02-26,2384732872,1467
DamofuLPqLQvbuzUGxVlxxFBexYILozn,2019-09-10,2019-11-04,7231343250,4999
ZImNeNFsaKCbDCQmsjSLHFcUdbyCKrmDNk,2011-03-24,2021-10-05,1414546822,4731
OsIeyIdzuXetPMsUgiQHMPPDnAXJucFkqiLKatnFBMizCHDLmwHKAMXuaSjygavnscKjRZMUGdMKiFAoQCtkpokKpdNQZMnRBHG,1987-08-25,2018-09-15,5775376637,2496
wVGjmzHZYMXagDenXGpsTSeSHeHDuYjos,1997-10-18,2016-02-08,8380169312,1298
GXeOsbZNaDXVVWkWNQotzlMNdtZEkeTsRCfTgqNSJwliFgDZczeOUzOjahxjPcWTjUPfYIABQeCybgVppdxmtDclBGWOWUezS,2001-04-26,2012-12-18,5517812843,1426
GXxCkOMdjEIXNDPJUPJOVukWuTjxWlhHSSseTFZAFFVNtxdgHzzPGG,1970-03-11,2015-08-08,3992449370,1696
fOsxVvWUtppUDUWKpDLscNVikIrVbGyYfgxQeOvylsvXItpYFCbylsBBMAWrRlEiGnGBunjerRJHMbTL,1980-06-27,2001-01-31,0204738739,3595
NjSDBYoNjAFbO,1997-05-29,2007-06-14,6141967475,1170
GfocBjeJhNcfBXZKUtvMQXngdvOUqeeeYvglVKOsxygjJ,1952-03-02,2017-11-30,3372021100,4380
cGOjhUlWWCNljQTPNXiBcgCZaEIMqFNRYVdhrpGnhGsuaJobzilkEXREbVAMHtvQdWLkphqFUFSuEnXFI,1968-03-25,1984-07-26,6518091326,2709
LoNTRNrNWLOFbNmUHYNwO,1952-06-17,2008-05-29,8032650191,235
YrCfNAzqyMOiAubSQDWXoZpiVyHGwZFGHGqnewcMVSpYRpdvdDTwxpzpCIWqytKsgHWBhadgnWJApwEW,2012-11-05,2018-07-21,7765595324,786
boLHzCyxswyAPxMIRJqjJubJlroSBiWNCMzwULhmmSpXBKlLzcwzXGReSWcJCfLPyyBiZEAbPeVwXjpkHGQDi,2006-03-26,2006-03-26,3165481617,80
eTEDfjgzcvdSecxZwqWtwxBttfkpYHGxBxMqeRipWlCWdwCoBPSUtLsGwSoOKhpSLhcWNJvQBanpxjPDYAcwiVkETgMge,1952-06-02,1967-11-11,1907051715,601
TKNGqiaOoiWTFyhjBnqbvEdhnfELNKsptCRdSzECebKbGeeBdXAYVHKlbpEzkHlOfFqZcXoHChdpyEkVYtJERC,1998-06-02,2021-10-06,9256052423,858
OWydiDvqgLZYEKEvSIiOWkebswlNOleslTPpHjbjCIWHZETjzgKdzcVcFvjtRJPBDbnouMPPLGXNwBtgAmvbtSZD,1955-03-21,1966-05-28,4484312832,291
CurkbrDrmCuuFSxMwLsPrmTcjDMgPKQZPQRdYHiTLmeyqQkwjGkFKCrYHyfLsSe,1951-10-24,2003-09-26,4757907012,3068
JsoOZOMxqBYMvedSBPQRBpbZuTCrGTfrPlMuFzhGpDnCAgkDvbOYpEdXIxiNhEehBCZqoms,1963-05-24,2015-04-17,4408910509,284
aaYZttNmrDasaPuPEVnHeZUKyfGDcfpgAnqLoFEQTDAVhTWPAHAZesTPztvAtpDV,2019-09-14,2022-05-20,6561324144,2498
