host_id,guest_id,ID,TEXT,TIME,direction
6927986696,8223269605,1,miTEmPcvx,1973-08-09 13:22:25,TO GUEST
5582031453,4870362646,2,Eajopvq,1980-02-28 02:39:37,TO HOST
4208369054,3480762616,3,pRZly,1990-06-18 11:29:21,TO HOST
0003007367,1247125719,4,FBYvGMAGh,1959-06-18 00:49:22,TO HOST
4311924754,8346882084,5,EbvvAGSBs,2023-06-26 22:30:28,TO GUEST
1506875357,5249555451,6,WQBFlzfMkbDKZ,1982-05-07 10:32:44,TO GUEST
0819660424,4448044703,7,IAvVzCxqYz,1963-12-21 09:21:41,TO HOST
0702947301,2102344188,8,JLYncsVxEgaOAs,2018-02-06 04:15:23,TO GUEST
0229437889,9833162972,9,kHjirOgEMyaKEPQ,2018-01-09 19:49:37,TO GUEST
2552674503,9908770136,10,dwtTnrgqL,1956-07-16 14:12:03,TO GUEST
3219321217,9187121082,11,wSfQFauWeH,2016-08-28 19:33:48,TO GUEST
1880624533,8144018692,12,lBNKtv,1974-12-25 00:36:01,TO GUEST
1866278823,9263217427,13,IA,1995-06-30 01:19:55,TO GUEST
0164615000,0256987878,14,vqLzTNqJdP,1983-11-11 00:26:18,TO GUEST
7296025761,7266624973,15,slODkmhi,2021-08-08 18:49:25,TO GUEST
0580408021,1602359054,16,rYVeHUSC,1953-10-28 15:41:03,TO GUEST
6024060177,2217795105,17,JlMdweiHcAoiAZg,2017-01-08 08:37:35,TO GUEST
1062404191,2689183470,18,DsGeb,1952-01-14 08:08:41,TO HOST
4626247168,5037370637,19,pLMjjdluKm,1985-03-31 03:56:58,TO GUEST
1593418517,8651467458,20,UMVrVTsctJjrB,2017-03-18 10:31:37,TO HOST
5573646557,8779491706,21,n,1997-04-27 08:37:50,TO HOST
7067151705,0069002756,22,VL,1983-04-29 14:43:25,TO HOST
7133275114,7209301259,23,Hc,1979-09-10 05:42:50,TO GUEST
8398268124,9040963141,24,ZduaeVKd,1977-08-30 20:43:23,TO GUEST
