PRICE,RENT_STATUS,CANCELATION_PENALTY,START_DATE,END_DATE,GUEST_ID,RID
340.62,Cancelled,339.87,2018-05-27,2022-08-07,7268938381,1170
930.16,Ongoing,735.25,1961-07-25,2009-03-24,6640290762,1287
987.94,Cancelled,756.31,2003-03-30,2009-03-23,5105729994,4098
801.38,Cancelled,420.23,1952-08-22,1956-05-10,4507306519,3743
608.19,Cancelled,319.37,2007-11-11,2009-06-23,8962497724,2156
215.81,Cancelled,149.12,1999-11-06,2003-09-25,2114367362,667
470.3,Completed,57.57,1987-08-30,2015-09-11,6677350362,2843
955.48,Completed,208.13,2011-05-11,2019-08-02,8949987895,456
378.56,Ongoing,335.81,2011-08-27,2017-02-27,8217867184,428
146.56,Ongoing,113.57,2010-11-21,2013-04-03,0917190943,887
303.06,Cancelled,281.1,1995-07-04,2005-09-02,8984237214,447
154.08,Cancelled,84.05,1963-04-15,1998-05-20,0792831525,4797
578.58,Ongoing,394.05,1994-01-18,2022-08-24,2662140859,1811
87.05,Ongoing,48.89,1996-04-11,2010-12-06,6880000192,711
281.57,Ongoing,184.39,2006-07-16,2013-12-09,3158953213,113
279.43,Ongoing,226.76,1990-04-02,2018-10-03,3362740312,3180
520.81,Ongoing,312.37,1950-06-17,1959-03-29,1283584312,2770
933.36,Completed,318.23,2007-12-24,2016-04-10,4842106181,1689
519.08,Ongoing,406.45,1971-09-28,2003-06-30,9416654295,4219
511.91,Completed,268.79,1955-12-06,1970-02-04,5017630178,3560
376.63,Cancelled,145.73,1992-10-21,2021-12-08,2945152117,3348
227.65,Completed,52.28,1974-07-21,2021-03-26,5280814477,4530
351.4,Cancelled,263.38,2012-07-09,2016-10-09,2032555390,2844
119.18,Cancelled,45.49,1975-02-21,2022-05-11,0338621096,4534
24.76,Ongoing,16.77,1954-06-03,2004-12-15,3958308400,198
784.27,Cancelled,669.73,1955-05-01,1998-10-31,2760344530,4141
176.08,Completed,174.52,2019-10-05,2020-06-05,4895073356,3026
662.36,Cancelled,361.21,1970-04-27,1998-07-25,1108951818,2991
858.69,Cancelled,343.28,1992-05-31,2020-04-15,6722275631,484
183.25,Cancelled,129.52,2007-02-04,2014-06-05,4713960431,3327
66.82,Ongoing,15.55,1954-06-14,2011-10-08,9916195140,1535
781.28,Completed,312.41,1992-11-12,1997-10-02,0153645958,460
596.58,Cancelled,531.91,1981-11-17,2022-04-03,3252938510,1265
854.73,Completed,315.74,2007-07-17,2017-10-06,5729409070,4964
909.95,Completed,656.4,2008-10-01,2019-06-19,4788818653,678
46.46,Completed,44.28,2009-05-31,2020-05-02,3792099675,1228
982.16,Cancelled,477.71,1985-03-16,1994-05-11,6154953527,2000
597.71,Ongoing,412.98,2000-04-16,2020-09-25,9481843203,717
207.61,Cancelled,97.74,1959-07-10,1978-02-04,6960276239,3072
98.34,Cancelled,73.03,2015-07-28,2020-09-17,3208855603,687
946.49,Completed,633.92,1964-03-04,2007-09-30,0570567892,835
304.62,Completed,54.65,1967-01-31,1982-10-05,6301216053,4531
965.73,Completed,142.23,2009-08-08,2023-05-31,8257007416,1324
10.77,Cancelled,10.56,1995-01-28,2003-03-25,9469892130,2117
636.65,Cancelled,19.15,1966-05-02,1985-05-10,5846764889,1870
748.53,Cancelled,658.56,2011-05-22,2021-10-26,5667185947,6
49.73,Cancelled,3.12,1965-06-30,2007-08-20,7408292981,220
151.77,Cancelled,92.04,1986-01-27,2019-05-06,0014843967,4501
123.55,Ongoing,26.24,1956-05-02,1973-08-01,8469921577,527
132.93,Ongoing,35.7,1962-03-23,1980-12-01,1962900048,397
404.52,Completed,351.2,1959-06-16,1994-04-15,4261136008,1892
10.58,Cancelled,3.47,1963-09-14,2010-03-04,9739917637,4597
545.03,Cancelled,19.32,1978-07-17,2000-05-18,3745744485,4157
996.6,Completed,875.74,1968-03-05,1996-02-29,5052169639,1941
170.62,Cancelled,74.33,2004-04-26,2006-04-25,6769869880,3867
474.61,Cancelled,335.16,2017-05-21,2019-10-14,8244593017,489
492.42,Ongoing,224.64,1966-04-10,1993-12-07,8171292135,3094
373.71,Completed,254.78,2012-11-18,2019-12-03,2522435331,128
791.63,Cancelled,238.55,1973-06-24,2022-10-27,2474940404,157
218.89,Cancelled,101.1,1998-06-09,2005-01-03,6380147950,2760
900.33,Completed,611.46,1987-05-21,2023-05-29,1982716093,268
6.41,Completed,5.46,1993-05-27,2011-04-21,6111854522,3150
199.0,Cancelled,6.28,1990-09-06,1997-02-25,9352586728,4994
652.91,Completed,534.54,2001-07-31,2023-04-28,1336920345,669
238.69,Cancelled,108.92,2003-05-06,2021-02-25,5696447299,4928
346.83,Completed,270.54,1986-11-02,2021-12-30,4089489984,4319
474.53,Ongoing,423.11,1998-04-05,2020-03-15,5017867523,3766
424.18,Cancelled,286.4,1999-02-05,2006-05-02,9858442608,1685
646.2,Ongoing,494.35,1991-05-07,2021-10-01,0439329421,1816
933.77,Cancelled,193.58,2020-05-14,2023-01-18,2229541014,3033
426.58,Cancelled,237.19,1999-03-19,2023-01-04,2760344530,4671
9.46,Cancelled,9.26,2004-05-14,2020-02-12,5833148541,148
864.2,Completed,809.8,1989-06-19,2014-05-29,8929578283,1600
769.9,Ongoing,300.81,2005-01-13,2011-04-07,6381849695,1401
645.75,Cancelled,480.95,1973-05-14,2016-06-24,3136009227,4417
921.83,Cancelled,366.63,1982-09-04,2015-12-21,7274808225,549
542.09,Cancelled,48.49,2008-04-10,2019-03-10,3065067160,4354
202.88,Cancelled,172.04,1965-10-27,1971-08-24,1187630051,445
236.28,Cancelled,210.34,2007-06-15,2022-05-03,6621649431,3373
785.46,Cancelled,609.5,1967-08-08,2005-10-08,7052475214,2887
850.45,Ongoing,43.57,1993-12-31,2006-06-18,6958935317,1299
726.55,Ongoing,556.92,2013-12-04,2018-04-30,8949987895,3954
553.47,Cancelled,277.41,2003-12-08,2010-09-10,6898528745,4188
800.51,Completed,70.84,1962-04-16,2003-11-12,7584904839,750
375.83,Cancelled,142.4,1965-05-22,2002-02-20,2402429239,4478
548.97,Ongoing,511.67,1984-07-27,2019-12-21,5722123257,609
560.16,Cancelled,379.0,1966-05-19,1999-10-15,1028511544,4753
276.62,Cancelled,160.51,2015-05-31,2019-09-22,7406616024,2455
488.64,Cancelled,257.61,1979-09-09,2021-04-19,2642488244,4103
643.96,Cancelled,167.72,2000-10-29,2016-09-19,6374974397,4431
726.29,Cancelled,724.68,1961-01-31,1984-11-10,5860540551,4718
891.03,Ongoing,88.77,1981-03-22,1989-12-18,8657084503,3743
805.45,Ongoing,704.33,1962-06-28,2012-02-18,5786098628,4
931.08,Cancelled,15.33,1988-09-20,1998-03-01,4450884264,4913
52.22,Ongoing,20.79,2021-10-15,2022-09-19,0557763184,3822
122.5,Cancelled,74.12,1959-08-09,2003-03-30,2867218165,987
533.32,Cancelled,16.37,1958-02-22,2003-07-04,9829669912,4682
515.55,Completed,438.34,1989-03-05,2005-05-14,3177405818,781
181.94,Completed,147.25,2000-02-29,2015-06-26,6569645132,1798
944.12,Ongoing,597.1,1997-02-28,2016-08-29,9749384334,2139
640.05,Completed,211.59,1952-11-05,2014-01-09,4046107472,4505
424.0,Completed,417.21,1999-06-26,2022-03-28,1469182288,1300
980.7,Completed,811.8,1989-06-16,1998-07-08,9032540080,206
779.98,Completed,660.48,1952-07-12,2001-05-13,3442489182,1855
670.84,Cancelled,356.77,1994-09-27,2002-05-07,7712752086,4715
