START_DATE,END_DATE,PEOPLE_COUNT,REQUEST_STATUS,GUEST_ID,RID
2011-07-28,2018-05-04,5,Pending,3027150720,376
1976-05-28,1994-01-30,5,Rejected,7728187412,3970
2011-07-23,2016-03-07,4,Rejected,7783304382,3119
2018-05-27,2022-08-07,2,Cancelled,7268938381,1170
1961-07-25,2009-03-24,3,Accepted,6640290762,1287
2003-03-30,2009-03-23,1,Cancelled,5105729994,4098
1974-02-15,1976-09-12,5,Rejected,5563911789,4997
2014-07-24,2018-05-08,2,Rejected,0539774113,4162
1952-08-22,1956-05-10,3,Cancelled,4507306519,3743
2007-11-11,2009-06-23,2,Cancelled,8962497724,2156
1999-11-06,2003-09-25,4,Cancelled,2114367362,667
1987-08-30,2015-09-11,4,Accepted,6677350362,2843
2011-05-11,2019-08-02,4,Accepted,8949987895,456
2011-08-27,2017-02-27,4,Accepted,8217867184,428
2015-09-23,2021-11-12,1,Pending,9238715535,4795
2010-11-21,2013-04-03,1,Accepted,0917190943,887
1995-07-04,2005-09-02,2,Cancelled,8984237214,447
1963-04-15,1998-05-20,2,Cancelled,0792831525,4797
1994-01-18,2022-08-24,4,Accepted,2662140859,1811
1996-04-11,2010-12-06,5,Accepted,6880000192,711
2006-07-16,2013-12-09,2,Accepted,3158953213,113
1990-04-02,2018-10-03,5,Accepted,3362740312,3180
1998-02-16,2009-10-27,5,Pending,9163602814,31
1992-02-24,1996-11-18,2,Rejected,9934694808,4635
1989-11-01,2021-10-09,4,Rejected,1471040546,2433
2012-07-11,2018-09-28,5,Pending,4219036254,4266
1950-06-17,1959-03-29,2,Accepted,1283584312,2770
1977-08-21,1991-06-09,5,Rejected,6403416654,4387
1950-01-22,1974-10-04,3,Rejected,4053109018,169
2007-12-24,2016-04-10,4,Accepted,4842106181,1689
1971-09-28,2003-06-30,5,Accepted,9416654295,4219
1965-07-06,2013-10-23,1,Pending,8051043075,3516
1955-12-06,1970-02-04,3,Accepted,5017630178,3560
1962-11-05,2017-06-15,5,Pending,6171133320,3784
1992-10-21,2021-12-08,3,Cancelled,2945152117,3348
1974-07-21,2021-03-26,5,Accepted,5280814477,4530
2012-07-09,2016-10-09,5,Cancelled,2032555390,2844
1975-02-21,2022-05-11,1,Cancelled,0338621096,4534
1954-04-05,1954-12-27,5,Rejected,6483282276,1191
1954-06-03,2004-12-15,3,Accepted,3958308400,198
1955-05-01,1998-10-31,3,Cancelled,2760344530,4141
2019-10-05,2020-06-05,4,Accepted,4895073356,3026
1962-04-12,2002-01-23,5,Pending,1818462066,2324
1970-04-27,1998-07-25,2,Cancelled,1108951818,2991
2006-08-11,2007-05-27,2,Pending,4629735318,1307
1959-12-09,1976-05-15,4,Pending,7316035192,3396
1992-05-31,2020-04-15,1,Cancelled,6722275631,484
2007-02-04,2014-06-05,4,Cancelled,4713960431,3327
1954-06-14,2011-10-08,1,Accepted,9916195140,1535
1968-05-03,1979-10-10,2,Rejected,2398749430,1932
2021-10-24,2022-04-15,5,Rejected,6367187357,3997
1977-04-23,1998-05-17,3,Rejected,4893597747,3635
