residence_id,host_id,arrival_time,departure_time,repair_fee_per_rent,base_price,max_capacity,number_of_rooms,area,residence_type,accepted,ownership_document,TITLE
1,1178648032,00:45:17,23:21:11,515.05,765.64,4,2,563.91,APARTMENT,True,"('wjTGQpfVGN', 823478248498638159937263)",PmPhvikaNLKsYGG
2,6891859360,01:23:25,00:41:00,525.69,67.09,2,4,499.72,HOTEL,True,"('r', 201517038343685167210681)",BsOZGygyHaO
3,7603519563,03:02:01,03:07:19,678.65,870.68,1,0,345.55,ECOTOURISM,True,"('e', 633681826506508341455170)",Cgl
4,2050729923,20:44:44,12:21:53,880.1,494.08,1,2,257.31,VILLA,False,"('FMPmQOBUPC', 769507047638193856515968)",Mexzwoxaga
5,8293357271,06:54:42,11:37:14,596.76,774.3,2,4,283.77,VILLA,True,"('zCwVKVGLtqwl', 595262818745877324446491)",RuMv
6,5586164803,12:34:10,09:08:13,690.67,39.19,9,1,810.25,VILLA,False,"('dcqiIB', 1186195844696646567474143)",eNJwoYjBBLdYfPd
7,0803074402,05:12:33,16:31:40,946.5,781.64,9,1,447.34,VILLA,True,"('EFBZckkecePkjjd', 394422514125467959063606)",bbHomdsWk
8,7302230330,18:01:13,07:34:10,93.7,768.99,6,3,182.12,HOTEL,True,"('aSzYoZYoZeKOsqk', 545111810409968131224372)",wDXAhnsPbSS
9,0786189479,21:57:12,11:29:06,208.22,335.01,1,0,359.67,VILLA,True,"('qBjMPPBTggqptLz', 594498483608198687730689)",pIzcbmlVUztRxys
10,8192833493,01:37:47,01:37:56,482.92,745.16,8,3,427.73,APARTMENT,True,"('kvbHXkl', 972938048814163376863720)",J
11,8070204881,11:46:18,10:55:37,432.74,528.86,9,4,968.28,HOTEL,False,"('QTzNVoH', 64092192762420273371864)",TLEJehQ
12,7165494338,21:13:10,23:52:45,26.91,55.53,5,2,398.18,APARTMENT,True,"('ENFAn', 524288090831723765998549)",AWaGLOcgwjEvut
13,3407283872,08:23:22,16:20:02,180.1,896.99,1,2,444.47,ECOTOURISM,True,"('Vlncj', 607005246555620278908812)",YZJqvqx
14,2369252435,00:04:51,13:45:46,820.51,303.28,5,1,465.8,ECOTOURISM,False,"('cIroYcqjh', 1169088949265204881959267)",SQwTvjeAVyxv
15,1194156837,06:46:24,13:57:26,918.59,127.16,9,3,229.64,ECOTOURISM,False,"('mXQjWbim', 344982505965103853309728)",PoWXQmX
16,6431858650,19:50:30,17:11:55,806.15,429.4,5,4,608.41,APARTMENT,True,"('mjuSEdkgemD', 442306474336844891362045)",ocQbCeJFTkyRq
